date,stime,etime,start_tz_id,end_tz_id,number_people_add_10
20230611,00:00,00:00,8,1,12
20230611,00:00,00:00,6,1,13
20230611,00:00,00:00,4,24,12
20230611,00:00,00:00,1,1,287
20230611,00:00,00:00,1,10,27
20230611,00:00,00:00,10,1,12
20230611,00:00,00:00,10,10,109
20230611,00:00,00:00,11,11,39
20230611,00:00,00:00,12,12,58
20230611,00:00,00:00,13,10,11
20230611,00:00,00:00,13,13,88
20230611,00:00,00:00,13,18,26
20230611,00:00,00:00,14,14,81
20230611,00:00,00:00,14,16,19
20230611,00:00,00:00,14,21,11
20230611,00:00,00:00,14,25,11
20230611,00:00,00:00,14,3,17
20230611,00:00,00:00,15,15,233
20230611,00:00,00:00,15,26,27
20230611,00:00,00:00,16,14,16
20230611,00:00,00:00,16,16,53
20230611,00:00,00:00,16,21,18
20230611,00:00,00:00,17,17,58
20230611,00:00,00:00,18,1,11
20230611,00:00,00:00,18,13,29
20230611,00:00,00:00,18,18,92
20230611,00:00,00:00,19,19,161
20230611,00:00,00:00,19,20,11
20230611,00:00,00:00,19,24,25
20230611,00:00,00:00,2,2,316
20230611,00:00,00:00,2,4,12
20230611,00:00,00:00,20,20,37
20230611,00:00,00:00,20,15,11
20230611,00:00,00:00,19,26,22
20230611,00:00,00:00,19,15,17
20230611,00:00,00:00,18,25,14
20230611,00:00,00:00,16,4,14
20230611,00:00,00:00,16,23,14
20230611,00:00,00:00,15,22,13
20230611,00:00,00:00,14,4,16
20230611,00:00,00:00,14,23,21
20230611,00:00,00:00,14,2,11
20230611,00:00,00:00,13,25,11
20230611,00:00,00:00,12,11,14
20230611,00:00,00:00,11,8,12
20230611,00:00,00:00,10,9,12
20230611,00:00,00:00,10,21,19
20230611,00:00,00:00,1,9,11
20230611,00:00,00:00,1,21,14
20230611,00:00,00:00,9,10,12
20230611,00:00,00:00,9,1,12
20230611,00:00,00:00,7,11,14
20230611,00:00,00:00,9,9,135
20230611,00:00,00:00,9,21,11
20230611,00:00,00:00,8,8,72
20230611,00:00,00:00,8,7,12
20230611,00:00,00:00,7,8,12
20230611,00:00,00:00,7,7,68
20230611,00:00,00:00,6,6,147
20230611,00:00,00:00,5,5,86
20230611,00:00,00:00,4,4,70
20230611,00:00,00:00,4,23,17
20230611,00:00,00:00,4,2,12
20230611,00:00,00:00,3,3,53
20230611,00:00,00:00,3,14,11
20230611,00:00,00:00,26,26,104
20230611,00:00,00:00,26,15,19
20230611,00:00,00:00,25,25,81
20230611,00:00,00:00,24,24,308
20230611,00:00,00:00,24,20,11
20230611,00:00,00:00,24,19,19
20230611,00:00,00:00,23,23,1315
20230611,00:00,00:00,22,22,134
20230611,00:00,00:00,21,9,11
20230611,00:00,00:00,21,21,47
20230611,00:00,00:00,21,16,13
20230611,00:00,00:00,21,14,12
20230611,00:00,00:00,8,9,20
20230611,00:00,00:00,8,21,12
20230611,00:00,00:00,8,16,11
20230611,00:00,00:00,7,9,11
20230611,00:00,00:00,7,21,11
20230611,00:00,00:00,6,21,11
20230611,00:00,00:00,6,14,11
20230611,00:00,00:00,4,26,13
20230611,00:00,00:00,4,15,14
20230611,00:00,00:00,3,24,12
20230611,00:00,00:00,3,19,12
20230611,00:00,00:00,25,24,12
20230611,00:00,00:00,25,20,13
20230611,00:00,00:00,25,19,11
20230611,00:00,00:00,24,22,12
20230611,00:00,00:00,24,17,11
20230611,00:00,00:00,23,26,24
20230611,00:00,00:00,23,15,82
20230611,00:00,00:00,20,22,16
20230611,00:00,00:00,2,15,12
20230611,00:00,00:00,19,22,25
20230611,00:00,00:00,18,2,11
20230611,00:00,00:00,16,24,16
20230611,00:00,00:00,14,24,22
20230611,00:00,00:00,13,23,14
20230611,00:00,00:00,12,8,11
20230611,00:00,00:00,11,10,16
20230611,00:00,00:00,10,4,11
20230611,00:00,00:00,10,23,11
20230611,00:00,00:00,1,4,16
20230611,00:00,00:00,1,23,13
20230611,00:00,00:00,1,2,11
20230611,00:00,00:00,5,2,18
20230611,00:00,00:00,26,13,13
20230611,00:00,00:00,26,1,11
20230611,00:00,00:00,25,22,26
20230611,00:00,00:00,22,25,23
20230611,00:00,00:00,21,12,13
20230611,00:00,00:00,2,5,22
20230611,00:00,00:00,2,11,11
20230611,00:00,00:00,18,26,11
20230611,00:00,00:00,18,15,11
20230611,00:00,00:00,15,1,12
20230611,00:00,00:00,13,26,12
